geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101007400,Paschall-Kingsessing,43.06059331,Average,236,Ozone concentration,Southwest,Paschall-Kingsessing 11
42101007700,University City,43.47262904,Average,273,Ozone concentration,Southwest,University City 1
42101007800,University City,42.83664376,Average,230,Ozone concentration,Southwest,University City 2
42101007900,University City,42.572245,Average,220,Ozone concentration,Southwest,University City 3
42101008000,Cobbs Creek,42.27215797,Average,181,Ozone concentration,Southwest,Cobbs Creek 1
42101008101,Cobbs Creek,42.27215797,Average,181,Ozone concentration,Southwest,Cobbs Creek 2
42101008102,Cobbs Creek,42.27216169,Average,189,Ozone concentration,Southwest,Cobbs Creek 3
42101008200,Cobbs Creek,42.27215797,Average,181,Ozone concentration,Southwest,Cobbs Creek 4
42101008301,Cobbs Creek,42.27741435,Average,195,Ozone concentration,Southwest,Cobbs Creek 5
42101008302,Cobbs Creek,42.27346554,Average,193,Ozone concentration,Southwest,Cobbs Creek 6
42101008400,Cobbs Creek,42.27215797,Average,181,Ozone concentration,Southwest,Cobbs Creek 7
42101008500,Cobbs Creek,42.27215797,Average,181,Ozone concentration,Southwest,Cobbs Creek 8
42101008601,University City,42.83428565,Average,229,Ozone concentration,Southwest,University City 4
42101008602,University City,42.7332446,Average,227,Ozone concentration,Southwest,University City 5
42101008701,University City,43.47263277,Below Average,288,Ozone concentration,Southwest,University City 6
42101008702,University City,43.47262904,Average,273,Ozone concentration,Southwest,University City 7
42101008801,University City,43.47262904,Average,273,Ozone concentration,Southwest,University City 8
42101008802,University City,43.47262904,Average,273,Ozone concentration,Southwest,University City 9
42101009000,University City,43.45998541,Average,269,Ozone concentration,West,University City 10
42101009100,University City,43.46776754,Average,271,Ozone concentration,West,University City 11
42101009200,Mill Creek-Parkside,43.4615612,Average,270,Ozone concentration,West,Mill Creek-Parkside 1
42101009300,Haddington-Overbrook,42.31740162,Average,196,Ozone concentration,West,Haddington-Overbrook 1
42101009400,Haddington-Overbrook,42.33522713,Average,197,Ozone concentration,West,Haddington-Overbrook 2
42101009500,Haddington-Overbrook,42.34778509,Average,200,Ozone concentration,West,Haddington-Overbrook 3
42101009600,Haddington-Overbrook,42.34865308,Average,201,Ozone concentration,West,Haddington-Overbrook 4
42101009801,Overbrook Park-Wynnefield Heights,42.34865308,Average,201,Ozone concentration,West,Overbrook Park-Wynnefield Heights 1
42101009802,Overbrook Park-Wynnefield Heights,42.36264154,Average,214,Ozone concentration,West,Overbrook Park-Wynnefield Heights 2
42101010000,Haddington-Overbrook,42.34865308,Average,201,Ozone concentration,West,Haddington-Overbrook 5
42101010100,Haddington-Overbrook,42.34865308,Average,201,Ozone concentration,West,Haddington-Overbrook 6
42101010200,Haddington-Overbrook,42.34865308,Average,201,Ozone concentration,West,Haddington-Overbrook 7
42101010300,Mill Creek-Parkside,42.34865308,Average,201,Ozone concentration,West,Mill Creek-Parkside 2
42101010400,Mill Creek-Parkside,42.33781248,Average,198,Ozone concentration,West,Mill Creek-Parkside 3
42101010500,Mill Creek-Parkside,43.21821779,Average,239,Ozone concentration,West,Mill Creek-Parkside 4
42101010600,Mill Creek-Parkside,43.40325296,Average,244,Ozone concentration,West,Mill Creek-Parkside 5
42101010700,Mill Creek-Parkside,43.40325668,Average,264,Ozone concentration,West,Mill Creek-Parkside 6
42101010800,Mill Creek-Parkside,43.40332001,Average,265,Ozone concentration,West,Mill Creek-Parkside 7
42101010900,Mill Creek-Parkside,43.40325296,Average,244,Ozone concentration,West,Mill Creek-Parkside 8
42101011000,Mill Creek-Parkside,43.40325296,Average,244,Ozone concentration,West,Mill Creek-Parkside 9
42101011100,Mill Creek-Parkside,42.46780649,Average,217,Ozone concentration,West,Mill Creek-Parkside 10
42101011200,Haddington-Overbrook,42.34865308,Average,201,Ozone concentration,West,Haddington-Overbrook 8
42101011300,Haddington-Overbrook,42.34865308,Average,201,Ozone concentration,West,Haddington-Overbrook 9
