geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101013100,Poplar-Temple,10.09123993,Below Average,355,Particulate matter concentration,Greater Center City,Poplar-Temple 1
42101013200,Poplar-Temple,9.259739876,Below Average,333,Particulate matter concentration,Greater Center City,Poplar-Temple 2
42101013300,Fairmount-Spring Garden,8.414942741,Average,231,Particulate matter concentration,Greater Center City,Fairmount-Spring Garden 2
42101013401,Fairmount-Spring Garden,8.414943695,Average,240,Particulate matter concentration,Greater Center City,Fairmount-Spring Garden 3
42101013402,Fairmount-Spring Garden,8.414943695,Average,240,Particulate matter concentration,Greater Center City,Fairmount-Spring Garden 4
42101013500,Fairmount-Spring Garden,8.414943695,Average,240,Particulate matter concentration,Greater Center City,Fairmount-Spring Garden 5
42101013601,Fairmount-Spring Garden,8.414943695,Average,240,Particulate matter concentration,Greater Center City,Fairmount-Spring Garden 6
42101013602,Fairmount-Spring Garden,8.414943695,Average,240,Particulate matter concentration,Greater Center City,Fairmount-Spring Garden 7
42101013700,Strawberry Mansion,8.414942741,Average,231,Particulate matter concentration,Lower North,Strawberry Mansion 1
42101013800,Sharswood-Stanton,8.414942741,Average,231,Particulate matter concentration,Lower North,Sharswood-Stanton 1
42101013900,Sharswood-Stanton,8.414942741,Average,231,Particulate matter concentration,Lower North,Sharswood-Stanton 2
42101014000,Sharswood-Stanton,8.414942741,Average,231,Particulate matter concentration,Lower North,Sharswood-Stanton 3
42101014100,Poplar-Temple,9.825577736,Below Average,342,Particulate matter concentration,Lower North,Poplar-Temple 3
42101014200,Northern Liberties-West Kensington,10.08205509,Below Average,353,Particulate matter concentration,Greater Center City,Northern Liberties-West Kensington 1
42101014300,Lower Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Lower Kensington 1
42101014400,Northern Liberties-West Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Northern Liberties-West Kensington 2
42101014500,Poplar-Temple,10.09123993,Below Average,355,Particulate matter concentration,Lower North,Poplar-Temple 4
42101014600,Poplar-Temple,9.879163742,Below Average,344,Particulate matter concentration,Lower North,Poplar-Temple 5
42101014700,Sharswood-Stanton,8.414943695,Average,240,Particulate matter concentration,Lower North,Sharswood-Stanton 4
42101014800,Sharswood-Stanton,8.414943695,Average,240,Particulate matter concentration,Lower North,Sharswood-Stanton 5
42101014900,Strawberry Mansion,8.414943695,Average,240,Particulate matter concentration,Lower North,Strawberry Mansion 2
42101015101,Strawberry Mansion,8.414943695,Average,240,Particulate matter concentration,Lower North,Strawberry Mansion 3
42101015102,Strawberry Mansion,8.414942741,Average,231,Particulate matter concentration,Lower North,Strawberry Mansion 4
42101015200,Strawberry Mansion,8.414943695,Average,240,Particulate matter concentration,Lower North,Strawberry Mansion 5
42101015300,Sharswood-Stanton,8.482773781,Below Average,297,Particulate matter concentration,Lower North,Sharswood-Stanton 6
42101015600,Northern Liberties-West Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Northern Liberties-West Kensington 3
42101015700,Northern Liberties-West Kensington,10.09124088,Below Average,372,Particulate matter concentration,East,Northern Liberties-West Kensington 4
42101015800,Lower Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Lower Kensington 2
42101016000,Lower Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Lower Kensington 3
42101016100,Lower Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Lower Kensington 4
42101016200,Northern Liberties-West Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Northern Liberties-West Kensington 5
42101016300,Northern Liberties-West Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Northern Liberties-West Kensington 6
42101016400,Northern Liberties-West Kensington,10.09123993,Below Average,355,Particulate matter concentration,East,Northern Liberties-West Kensington 7
42101016500,Poplar-Temple,10.09123993,Below Average,355,Particulate matter concentration,Lower North,Poplar-Temple 6
42101016600,Poplar-Temple,10.09123993,Below Average,355,Particulate matter concentration,Lower North,Poplar-Temple 7
42101016701,Sharswood-Stanton,8.414943695,Average,240,Particulate matter concentration,Lower North,Sharswood-Stanton 7
42101016702,Sharswood-Stanton,9.032802582,Below Average,327,Particulate matter concentration,Lower North,Sharswood-Stanton 8
42101016800,Strawberry Mansion,8.414942741,Average,231,Particulate matter concentration,Lower North,Strawberry Mansion 6
42101016901,Strawberry Mansion,8.41368866,Average,230,Particulate matter concentration,Lower North,Strawberry Mansion 7
