geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101034900,Torresdale South-Pennypack Park,50.114284953999515,Average,171,Health and Wellness,Far Northeast,Torresdale South-Pennypack Park 7
42101035100,Torresdale South-Pennypack Park,27.63855681118219,Below Average,346,Health and Wellness,Far Northeast,Torresdale South-Pennypack Park 8
42101035200,Torresdale South-Pennypack Park,52.75608924351444,Average,141,Health and Wellness,Far Northeast,Torresdale South-Pennypack Park 9
42101035301,Torresdale North,57.77185881266478,Average,94,Health and Wellness,Far Northeast,Torresdale North 1
42101035302,Torresdale North,49.93284330200837,Average,172,Health and Wellness,Far Northeast,Torresdale North 2
42101035500,Bustleton,41.19751583903881,Average,272,Health and Wellness,Far Northeast,Bustleton 4
42101035601,Bustleton,32.435482158129155,Below Average,327,Health and Wellness,Far Northeast,Bustleton 5
42101035602,Bustleton,58.794635822411706,Above Average,84,Health and Wellness,Far Northeast,Bustleton 6
42101035701,Somerton,56.444174112068865,Average,104,Health and Wellness,Far Northeast,Somerton 1
42101035702,Somerton,49.480186472703835,Average,176,Health and Wellness,Far Northeast,Somerton 2
42101035800,Somerton,48.78824725980512,Average,185,Health and Wellness,Far Northeast,Somerton 3
42101035900,Somerton,36.361071648304666,Below Average,305,Health and Wellness,Far Northeast,Somerton 4
42101036000,Somerton,33.71496994145755,Below Average,319,Health and Wellness,Far Northeast,Somerton 5
42101036100,Torresdale North,55.042491266026545,Average,117,Health and Wellness,Far Northeast,Torresdale North 3
